"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ERVW-1",1239.49177060049,1.33008143407182,0.526858020609025,2.52455383052592,0.0115845261490953,0.0461360334926668,"ERVW-1"
"ESCO1",723.55224269549,0.861386664743525,0.346142491159959,2.48853199691529,0.0128271694193943,0.0499630652575313,"ESCO1"
"ESPNP",21.1551677058986,-4.09652694527986,1.52777236864362,-2.68137258492038,0.00733208302554616,0.0325382602818528,"ESPNP"
"ESRRA",171.769973044963,-2.1073300196287,0.617708911097217,-3.41152601455193,0.000646003367089009,0.00486429801223102,"ESRRA"
"ETFA",960.581781156831,0.818397043242647,0.26460700190582,3.09287750266689,0.00198225939799688,0.0117771961074672,"ETFA"
"ETFB",881.663615076832,-1.16810143964447,0.32705858854101,-3.57153574488077,0.000354894099703154,0.00301713186800637,"ETFB"
"ETHE1",447.669479430926,-3.61178652569001,0.85639328274443,-4.21743911175429,2.47092510567626e-05,0.000345271419636933,"ETHE1"
"ETNK1",1456.78970051279,1.47260054107623,0.462541047484047,3.18371861067534,0.00145396277449077,0.00923854804352185,"ETNK1"
"ETNPPL",29.4100833493619,-3.55385303600973,1.06467496922103,-3.33796993331203,0.000843928808360855,0.00597341019166031,"ETNPPL"
"ETV3",1099.61188585091,-1.15494166345201,0.422556540292902,-2.73322396726232,0.00627176688432515,0.0287081634312579,"ETV3"
"ETV6",1273.63904558823,1.66938257117818,0.331463470332096,5.03639984673307,4.74369129820058e-07,1.21417793061388e-05,"ETV6"
"EVA1B",190.857522031633,-3.14542436517286,0.824210129556492,-3.81628938104099,0.000135473611084415,0.00138808239024262,"EVA1B"
"EVI2A",447.177561865647,1.79720257848537,0.343389672170739,5.23371179780785,1.66139433496165e-07,4.90037598295863e-06,"EVI2A"
"EVI2B",665.442479484493,1.49572882974639,0.393465374382376,3.80142428566742,0.000143866702945473,0.00145686043170634,"EVI2B"
"EVI5L",162.523831161946,-2.41616839733254,0.536638460753331,-4.50241377396009,6.7186016021118e-06,0.000118655622094338,"EVI5L"
