"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DKK4",1.7182139443398,2.44696917288893,3.38174532466197,0.723581741961461,0.469322553824335,NA
"DKKL1",1.83496628704393,0.936815596231068,2.39000927128075,0.391971532281568,0.695079248071645,NA
"DLGAP5",323.671772063942,2.0752352355544,1.0479467886243,1.98028684097471,NA,NA
"DNAI2",2.41949478316893,-1.27183815673227,2.71683605299328,-0.468132096278324,0.63969012778856,NA
"DNAI7",27.4373398195736,-0.921448939797635,1.08121487333698,-0.852234798577777,NA,NA
"DNAJA1P3",1.3355509434897,0.362670690757513,3.38720333614216,0.10707083536667,0.914732784138871,NA
"DNAJA1P5",1.6428302310622,-3.27464776866982,3.38717454021809,-0.966778573051912,NA,NA
"DNAJB1P1",2.39263384093928,-1.39997956634401,3.14437932524148,-0.44523240408868,NA,NA
"DNAJB6P1",0.735725993189107,2.46145008049017,3.41695218335157,0.720364215947506,0.471300776286823,NA
"DNAJB6P2",6.89068729548938,-1.65255206167668,2.87013500487235,-0.575775027610654,NA,NA
"DNAJB6P6",1.67288277592565,-0.725434167699172,2.79782108697836,-0.25928540287136,0.795415041215809,NA
"DNAJB6P7",43.5432202589385,1.33240836289623,1.5476101956422,0.860945712717619,NA,NA
"DNAJC19P4",1.22492511833238,-0.927553214278985,3.38890617305328,-0.273702831212731,0.784313001822398,NA
"DNAJC19P5",9.15013677525466,1.3762302637075,2.06838409232502,0.66536494300752,NA,NA
"DNAJC19P6",2.09192881908441,3.91262637556574,2.52228739063251,1.5512214786058,0.120848616582812,NA
"DNAJC19P7",1.7003439182448,3.65626151844172,2.59295507148285,1.41007515272943,0.158517493209398,NA
"DNHD1",776.669093013065,1.25655245203069,0.755550648274303,1.66309492937461,NA,NA
"DNM1P28",1.23991064092623,3.20060919721363,3.39986929839168,0.941391834894268,0.346504096337075,NA
"DNMT3L",0.605989867420544,0.728946853463353,3.41817112690064,0.213256395423453,0.8311269826136,NA
"DPPA2",1.54253828540413,1.93596781088201,2.9121607176232,0.664787420270567,0.506186469828272,NA
"DPPA2P1",2.45623622068354,-5.31098801089214,3.40983994346688,-1.55754759723188,0.119340529161355,NA
"DPPA3P2",1.908503115996,3.81553223402822,3.39077004238037,1.12527012635444,NA,NA
"DPPA3P3",1.06907290093386,-0.45082422026578,3.3873768095121,-0.133089480626962,0.894122614381001,NA
"DPRX",0.778694987036904,1.92885228886921,3.25510297084637,0.592562602825335,0.553473912927063,NA
"DPY19L2P5",1.39307312199785,1.78986030619232,3.03231609356502,0.590261783720581,0.555015156344853,NA
"DPY19L4P1",2.04688675740971,3.91030101066039,3.17871961653019,1.2301497088091,0.218641048429966,NA
"DQX1",1.73659586327209,0.666766238965007,3.35694285236633,0.198623053262584,0.842557619000369,NA
"DRD1",2.21467898635964,0.331734134090828,3.26295872118494,0.101666665881191,0.919021261782149,NA
"DSPP",29.8957744525532,-2.90636810312298,1.22951891461491,-2.36382545121989,NA,NA
"DTX2P1",68.1031246654355,0.560263731258716,1.09668832624133,0.510868692456043,NA,NA
"DUSP12P1",0.587521161335635,0.341922000129557,3.42022706688112,0.0999705555927764,0.920367701545266,NA
"DUSP5P1",2.25884226304012,1.49320721271793,2.64614275991855,0.564295787565102,0.572552847762521,NA
"DUX4",52.2659282587853,-2.86482100580779,2.371633746907,-1.20795253885386,NA,NA
